SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,BaseScore,x1,x2,x3,x7,x9,Score
0,0.995002776,30,1,0.176955761,4000.0,3,10,0,0,0.0,707.0,-10.0,-3.0,-24.0,-86.0,-30.0,554.0
1,0.717543958,49,0,0.332065653,4995.0,5,0,1,0,2.0,707.0,-10.0,-1.0,-12.0,-51.0,-30.0,603.0
1,0.0,30,0,0.482910951,4300.0,16,0,1,0,3.0,707.0,11.0,-3.0,-12.0,-51.0,-30.0,622.0
1,0.017677755,63,0,0.043991202,5000.0,6,0,0,0,0.0,707.0,11.0,6.0,-12.0,-51.0,-30.0,631.0
1,0.001599893,62,0,0.0,5319.0,4,0,0,0,0.0,707.0,11.0,3.0,-12.0,-51.0,-30.0,628.0
1,0.454230942,59,0,0.472206573,10649.0,9,0,3,0,1.0,707.0,2.0,3.0,-12.0,-51.0,-30.0,619.0
1,0.021935616,39,0,0.01764187,3400.0,9,0,0,0,0.0,707.0,11.0,-2.0,-12.0,-51.0,-30.0,623.0
1,0.9999999,37,0,0.087576375,5400.0,1,0,0,0,0.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
1,0.548679206,48,0,0.199205448,3523.0,2,0,0,0,0.0,707.0,-10.0,-1.0,-12.0,-51.0,-30.0,603.0
1,0.052299128,48,0,0.501319894,4166.0,3,0,1,0,1.0,707.0,10.0,-1.0,-12.0,-51.0,-30.0,623.0
1,0.260359852,27,0,0.087594886,10011.0,8,0,0,0,1.0,707.0,2.0,-3.0,-12.0,-51.0,-30.0,613.0
1,0.764165391,74,0,0.04318143,5858.0,3,0,0,0,0.0,707.0,-10.0,7.0,-12.0,-51.0,-30.0,611.0
1,0.022007695,51,0,0.170686345,16667.0,17,0,1,0,1.0,707.0,11.0,-1.0,-12.0,-51.0,-30.0,624.0
1,0.393787933,27,0,0.017549561,3076.0,2,0,0,0,0.0,707.0,2.0,-3.0,-12.0,-51.0,-30.0,613.0
1,0.00233389,53,0,0.270008686,8058.0,7,0,1,0,1.0,707.0,11.0,1.0,-12.0,-51.0,-30.0,626.0
1,0.055518163,46,0,0.609778598,4335.0,7,0,1,0,2.0,707.0,10.0,-1.0,-12.0,-51.0,-30.0,623.0
1,0.030794165,37,0,0.131218175,2552.0,5,0,0,0,0.0,707.0,11.0,-2.0,-12.0,-51.0,-30.0,623.0
1,0.751079242,41,0,0.306898502,7073.0,9,0,2,0,1.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
1,0.9999999,50,0,0.035926273,3200.0,5,0,0,0,1.0,707.0,-10.0,-1.0,-12.0,-51.0,-30.0,603.0
1,0.277579812,40,0,0.130450258,5618.0,8,0,0,0,0.0,707.0,2.0,-2.0,-12.0,-51.0,-30.0,614.0
0,0.052094791,68,0,0.002678093,5600.0,5,0,0,0,0.0,707.0,10.0,6.0,-12.0,-51.0,-30.0,630.0
1,0.042084338,78,0,0.014498188,8000.0,10,0,0,0,1.0,707.0,10.0,7.0,-12.0,-51.0,-30.0,631.0
1,0.544330362,64,0,0.580123463,19600.0,18,0,3,0,1.0,707.0,-10.0,6.0,-12.0,-51.0,-30.0,610.0
1,0.617672488,44,1,0.14130275,6800.0,8,0,0,0,2.0,707.0,-10.0,-2.0,-24.0,-51.0,-30.0,590.0
1,0.042295124,27,0,0.028249574,22902.0,18,0,0,0,0.0,707.0,10.0,-3.0,-12.0,-51.0,-30.0,621.0
1,0.016110753,34,0,0.34253819,1701.0,4,0,0,0,0.0,707.0,11.0,-2.0,-12.0,-51.0,-30.0,623.0
1,0.9999999,32,2,0.095584668,2060.0,1,0,0,0,0.0,707.0,-10.0,-3.0,-24.0,-51.0,-30.0,589.0
1,0.860392632,44,1,0.446523029,7750.0,10,0,2,0,3.0,707.0,-10.0,-2.0,-24.0,-51.0,-30.0,590.0
1,0.114093253,38,0,0.307133421,9083.0,4,0,1,0,2.0,707.0,10.0,-2.0,-12.0,-51.0,-30.0,622.0
1,0.147292635,40,0,0.067548418,6350.0,2,0,1,0,2.0,707.0,10.0,-2.0,-12.0,-51.0,-30.0,622.0
1,0.192772431,63,1,0.216567256,17938.0,18,0,2,0,0.0,707.0,2.0,6.0,-24.0,-51.0,-30.0,610.0
1,0.028851958,40,0,0.006024096,3485.0,4,0,0,0,2.0,707.0,11.0,-2.0,-12.0,-51.0,-30.0,623.0
1,0.137096149,52,0,0.637760471,4750.0,14,0,2,0,3.0,707.0,10.0,-1.0,-12.0,-51.0,-30.0,623.0
1,0.050558808,78,0,0.007570347,7000.0,6,0,0,0,0.0,707.0,10.0,7.0,-12.0,-51.0,-30.0,631.0
1,0.885792184,55,3,0.260934766,4000.0,2,1,1,0,0.0,707.0,-10.0,1.0,-34.0,-71.0,-30.0,563.0
1,0.000840816,69,0,0.283250287,7826.0,8,0,1,0,0.0,707.0,11.0,6.0,-12.0,-51.0,-30.0,631.0
1,0.060587882,25,0,0.097944825,5400.0,2,0,0,0,0.0,707.0,10.0,-3.0,-12.0,-51.0,-30.0,621.0
1,0.9999999,40,0,0.347953606,7500.0,4,0,2,0,2.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
1,0.451888995,39,0,0.565572405,6000.0,16,0,1,0,0.0,707.0,2.0,-2.0,-12.0,-51.0,-30.0,614.0
1,0.153712838,54,0,0.182679296,14040.0,2,0,1,0,3.0,707.0,10.0,1.0,-12.0,-51.0,-30.0,625.0
1,0.005599776,35,0,0.27647736,5211.0,6,0,0,0,1.0,707.0,11.0,-2.0,-12.0,-51.0,-30.0,623.0
1,0.509880916,51,0,0.277620397,6000.0,11,0,0,0,0.0,707.0,2.0,-1.0,-12.0,-51.0,-30.0,615.0
1,0.013694601,53,0,0.314027551,6750.0,8,0,2,0,2.0,707.0,11.0,1.0,-12.0,-51.0,-30.0,626.0
1,0.280505517,58,0,0.601639141,8052.0,18,0,1,0,0.0,707.0,2.0,3.0,-12.0,-51.0,-30.0,619.0
1,0.011184369,45,0,0.00619876,5000.0,6,0,0,0,0.0,707.0,11.0,-1.0,-12.0,-51.0,-30.0,624.0
1,0.624907788,63,0,0.348680004,10946.0,10,0,2,0,0.0,707.0,-10.0,6.0,-12.0,-51.0,-30.0,610.0
1,0.083969029,65,0,0.021447721,4102.0,4,0,0,0,0.0,707.0,10.0,6.0,-12.0,-51.0,-30.0,630.0
1,0.158684453,72,0,0.14183722,2100.0,11,0,0,0,1.0,707.0,10.0,7.0,-12.0,-51.0,-30.0,631.0
1,0.9999999,80,0,0.368181818,879.0,3,0,0,0,0.0,707.0,-10.0,7.0,-12.0,-51.0,-30.0,611.0
1,0.039612005,58,0,0.240635641,12333.0,10,0,2,0,2.0,707.0,10.0,3.0,-12.0,-51.0,-30.0,627.0
1,0.027358744,49,0,0.348046677,7883.0,8,0,2,0,1.0,707.0,11.0,-1.0,-12.0,-51.0,-30.0,624.0
1,0.562838206,53,1,0.336035718,17021.0,12,0,2,0,2.0,707.0,-10.0,1.0,-24.0,-51.0,-30.0,593.0
1,0.230125662,45,0,0.143033997,10500.0,8,0,1,0,0.0,707.0,2.0,-1.0,-12.0,-51.0,-30.0,615.0
1,0.445135772,56,0,0.065555135,7916.0,6,0,0,0,4.0,707.0,2.0,1.0,-12.0,-51.0,-30.0,617.0
1,0.008135396,89,0,0.002499375,4000.0,4,0,0,0,0.0,707.0,11.0,7.0,-12.0,-51.0,-30.0,632.0
1,0.0,35,0,0.009137636,1750.0,6,0,0,0,0.0,707.0,11.0,-2.0,-12.0,-51.0,-30.0,623.0
1,0.014797822,45,0,0.281537048,6531.0,6,0,2,0,1.0,707.0,11.0,-1.0,-12.0,-51.0,-30.0,624.0
1,0.032998821,34,0,0.127892031,4667.0,7,0,0,0,0.0,707.0,10.0,-2.0,-12.0,-51.0,-30.0,622.0
1,0.190039521,52,0,0.73699373,5900.0,20,0,3,0,0.0,707.0,2.0,-1.0,-12.0,-51.0,-30.0,615.0
1,0.069298661,62,0,0.072151899,9479.0,5,0,1,0,0.0,707.0,10.0,3.0,-12.0,-51.0,-30.0,627.0
1,0.007911354,62,0,0.227628729,6000.0,5,0,1,0,1.0,707.0,11.0,3.0,-12.0,-51.0,-30.0,628.0
1,0.01164195,53,0,0.095708905,14867.0,6,0,1,0,2.0,707.0,11.0,1.0,-12.0,-51.0,-30.0,626.0
1,0.003844876,58,0,0.151346438,8800.0,7,0,1,0,2.0,707.0,11.0,3.0,-12.0,-51.0,-30.0,628.0
1,0.061843694,74,0,0.166053431,6250.0,6,0,1,0,1.0,707.0,10.0,7.0,-12.0,-51.0,-30.0,631.0
1,0.167159493,61,0,0.254713242,35325.0,9,0,1,0,0.0,707.0,2.0,3.0,-12.0,-51.0,-30.0,619.0
1,0.024537465,66,0,0.219134828,9500.0,9,0,1,0,1.0,707.0,11.0,6.0,-12.0,-51.0,-30.0,631.0
1,0.9999999,23,0,0.242876526,736.0,1,0,0,0,0.0,707.0,-10.0,-3.0,-12.0,-51.0,-30.0,601.0
1,0.429405882,59,0,0.370394522,9200.0,15,0,2,0,0.0,707.0,2.0,3.0,-12.0,-51.0,-30.0,619.0
1,0.001673285,60,0,0.011235955,9166.0,6,0,1,0,0.0,707.0,11.0,3.0,-12.0,-51.0,-30.0,628.0
1,0.712273118,63,1,0.5104985,7000.0,13,0,1,0,1.0,707.0,-10.0,6.0,-24.0,-51.0,-30.0,598.0
1,0.178227827,45,0,0.294970503,10000.0,8,0,1,0,2.0,707.0,2.0,-1.0,-12.0,-51.0,-30.0,615.0
1,0.043378245,76,0,0.00539892,5000.0,4,0,0,0,1.0,707.0,10.0,7.0,-12.0,-51.0,-30.0,631.0
1,0.9999999,28,1,0.141239174,1500.0,3,0,0,0,0.0,707.0,-10.0,-3.0,-24.0,-51.0,-30.0,589.0
1,0.017331023,31,0,0.094635122,3000.0,4,0,0,0,0.0,707.0,11.0,-3.0,-12.0,-51.0,-30.0,622.0
1,0.164604502,45,0,0.408550305,3110.0,9,0,1,0,3.0,707.0,2.0,-1.0,-12.0,-51.0,-30.0,615.0
1,0.464798122,55,0,0.30296827,12700.0,8,0,2,0,4.0,707.0,2.0,1.0,-12.0,-51.0,-30.0,617.0
1,0.9999999,32,0,0.160946351,3000.0,3,0,0,0,4.0,707.0,-10.0,-3.0,-12.0,-51.0,-30.0,601.0
1,0.218111204,60,0,0.39551738,7450.0,21,0,2,0,0.0,707.0,2.0,3.0,-12.0,-51.0,-30.0,619.0
1,0.012746392,71,0,0.029828362,6000.0,12,0,1,0,1.0,707.0,11.0,7.0,-12.0,-51.0,-30.0,632.0
1,0.036254696,62,0,0.189807299,14166.0,13,0,1,0,0.0,707.0,10.0,3.0,-12.0,-51.0,-30.0,627.0
1,0.051602453,59,0,0.220912792,14000.0,13,0,2,0,1.0,707.0,10.0,3.0,-12.0,-51.0,-30.0,627.0
1,0.767270301,33,0,0.338389933,5800.0,10,0,0,0,3.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
1,0.157719455,57,0,0.211451101,11666.0,12,0,2,0,1.0,707.0,10.0,1.0,-12.0,-51.0,-30.0,625.0
1,0.154161081,41,0,0.48802604,4300.0,5,0,2,0,1.0,707.0,10.0,-2.0,-12.0,-51.0,-30.0,622.0
1,0.052273693,46,0,0.243929239,9100.0,5,0,1,0,0.0,707.0,10.0,-1.0,-12.0,-51.0,-30.0,623.0
1,0.019449028,85,0,0.1552744,6085.0,5,0,1,0,0.0,707.0,11.0,7.0,-12.0,-51.0,-30.0,632.0
1,0.246537779,74,2,0.315446448,4602.0,15,0,0,0,0.0,707.0,2.0,7.0,-24.0,-51.0,-30.0,611.0
1,0.052243196,54,0,0.005381332,5388.0,2,0,0,0,1.0,707.0,10.0,1.0,-12.0,-51.0,-30.0,625.0
0,0.098472395,42,0,0.511503478,5606.0,8,0,3,0,3.0,707.0,10.0,-2.0,-12.0,-51.0,-30.0,622.0
1,0.06288686,60,0,0.385190726,4010.0,11,0,2,0,0.0,707.0,10.0,3.0,-12.0,-51.0,-30.0,627.0
1,0.132240176,59,0,0.549862534,4000.0,9,0,1,0,0.0,707.0,10.0,3.0,-12.0,-51.0,-30.0,627.0
0,0.9999999,34,0,0.0,4506.0,0,1,0,0,0.0,707.0,-10.0,-2.0,-12.0,-71.0,-30.0,582.0
1,0.053717518,67,0,0.148148148,3185.0,12,0,0,0,0.0,707.0,10.0,6.0,-12.0,-51.0,-30.0,630.0
1,0.655320302,56,0,0.210929156,5617.0,7,0,0,0,1.0,707.0,-10.0,1.0,-12.0,-51.0,-30.0,605.0
1,0.0,70,2,0.124369108,10500.0,13,0,0,0,0.0,707.0,11.0,7.0,-24.0,-51.0,-30.0,620.0
1,0.048520819,63,0,0.277962014,6633.0,9,0,2,0,0.0,707.0,10.0,6.0,-12.0,-51.0,-30.0,630.0
1,0.9999999,49,0,0.788971451,12784.0,5,0,4,0,3.0,707.0,-10.0,-1.0,-12.0,-51.0,-30.0,603.0
1,0.012313764,47,0,0.344887348,7500.0,13,0,1,0,0.0,707.0,11.0,-1.0,-12.0,-51.0,-30.0,624.0
1,0.181588587,64,0,0.056201804,7650.0,10,0,0,0,2.0,707.0,2.0,6.0,-12.0,-51.0,-30.0,622.0
1,0.071640299,58,0,0.271403465,3982.0,9,0,1,0,0.0,707.0,10.0,3.0,-12.0,-51.0,-30.0,627.0
1,0.561272526,37,0,0.983338887,3000.0,11,0,1,0,1.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
1,0.9999999,58,1,0.754830113,1500.0,2,1,1,0,0.0,707.0,-10.0,3.0,-24.0,-71.0,-30.0,575.0
1,0.787522133,52,0,0.353860086,4416.0,12,0,0,0,1.0,707.0,-10.0,-1.0,-12.0,-51.0,-30.0,603.0
1,0.257045883,66,0,0.130686789,9143.0,17,0,0,0,2.0,707.0,2.0,6.0,-12.0,-51.0,-30.0,622.0
1,0.346777554,45,0,0.195190774,8150.0,9,0,2,1,0.0,707.0,2.0,-1.0,-12.0,-51.0,-44.0,601.0
1,0.024055847,40,0,0.004887803,4500.0,6,0,0,0,3.0,707.0,11.0,-2.0,-12.0,-51.0,-30.0,623.0
1,0.512831908,44,0,0.332688588,4135.0,9,0,1,0,2.0,707.0,2.0,-2.0,-12.0,-51.0,-30.0,614.0
1,0.118221899,32,0,0.025896414,3011.0,4,0,0,0,0.0,707.0,10.0,-3.0,-12.0,-51.0,-30.0,621.0
0,0.177321468,52,0,0.651405115,3166.0,8,0,1,0,2.0,707.0,2.0,-1.0,-12.0,-51.0,-30.0,615.0
1,0.9999999,31,2,0.396620574,30300.0,13,1,4,0,0.0,707.0,-10.0,-3.0,-24.0,-71.0,-30.0,569.0
1,0.548965663,55,0,0.220547524,3250.0,5,0,0,0,0.0,707.0,-10.0,1.0,-12.0,-51.0,-30.0,605.0
1,1.6e-05,80,0,0.716395305,2640.0,14,0,1,0,0.0,707.0,11.0,7.0,-12.0,-51.0,-30.0,632.0
1,0.0,55,0,0.220597238,14700.0,14,0,1,0,2.0,707.0,11.0,1.0,-12.0,-51.0,-30.0,626.0
1,0.217978645,69,0,0.958682635,3339.0,18,0,2,0,0.0,707.0,2.0,6.0,-12.0,-51.0,-30.0,622.0
1,0.155124365,52,0,0.299221515,7064.0,13,0,2,0,2.0,707.0,10.0,-1.0,-12.0,-51.0,-30.0,623.0
0,0.642159746,30,0,0.508618404,3770.0,8,0,1,0,0.0,707.0,-10.0,-3.0,-12.0,-51.0,-30.0,601.0
1,0.079113535,51,0,0.581449008,2166.0,22,0,1,0,0.0,707.0,10.0,-1.0,-12.0,-51.0,-30.0,623.0
1,0.432359766,60,1,0.375406148,4000.0,6,0,1,1,0.0,707.0,2.0,3.0,-24.0,-51.0,-44.0,593.0
1,0.586719866,63,0,0.612791703,3470.0,5,0,2,0,0.0,707.0,-10.0,6.0,-12.0,-51.0,-30.0,610.0
1,0.989661601,50,0,0.521895621,5000.0,10,0,2,0,0.0,707.0,-10.0,-1.0,-12.0,-51.0,-30.0,603.0
1,0.490254873,73,1,0.133688287,10329.0,6,0,1,0,0.0,707.0,2.0,7.0,-24.0,-51.0,-30.0,611.0
1,0.31557895,67,0,0.113314448,6000.0,6,0,0,0,1.0,707.0,2.0,6.0,-12.0,-51.0,-30.0,622.0
1,0.367724409,34,2,0.176058237,3708.0,6,0,1,0,0.0,707.0,2.0,-2.0,-24.0,-51.0,-30.0,602.0
1,0.153419517,48,0,0.380336713,10750.0,15,0,1,0,0.0,707.0,10.0,-1.0,-12.0,-51.0,-30.0,623.0
1,0.249903191,44,0,0.593167702,7083.0,11,0,2,0,0.0,707.0,2.0,-2.0,-12.0,-51.0,-30.0,614.0
1,0.514138817,32,0,0.300680516,5583.0,5,0,1,0,0.0,707.0,2.0,-3.0,-12.0,-51.0,-30.0,613.0
1,0.021029103,74,0,0.012719564,3301.0,10,0,0,0,1.0,707.0,11.0,7.0,-12.0,-51.0,-30.0,632.0
1,0.276955603,49,0,0.48626954,7100.0,7,0,2,0,2.0,707.0,2.0,-1.0,-12.0,-51.0,-30.0,615.0
1,0.13288467,63,1,0.271360416,6916.0,6,0,2,0,0.0,707.0,10.0,6.0,-24.0,-51.0,-30.0,618.0
1,0.810277367,47,0,0.988198542,2880.0,6,0,2,0,0.0,707.0,-10.0,-1.0,-12.0,-51.0,-30.0,603.0
1,0.007880456,81,0,0.004612409,6720.0,11,0,0,0,0.0,707.0,11.0,7.0,-12.0,-51.0,-30.0,632.0
1,0.008827464,53,0,0.101283572,9270.0,12,0,1,0,2.0,707.0,11.0,1.0,-12.0,-51.0,-30.0,626.0
1,0.048204139,28,0,0.073985203,5000.0,10,0,0,0,0.0,707.0,10.0,-3.0,-12.0,-51.0,-30.0,621.0
1,0.627194942,41,0,0.579663901,4700.0,10,0,2,0,0.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
1,0.074962947,51,0,0.462393067,9000.0,4,0,1,0,2.0,707.0,10.0,-1.0,-12.0,-51.0,-30.0,623.0
1,0.033483945,43,0,0.393839509,8797.0,10,1,2,0,0.0,707.0,10.0,-2.0,-12.0,-71.0,-30.0,602.0
1,0.9999999,53,1,0.586219207,2800.0,4,0,1,0,1.0,707.0,-10.0,1.0,-24.0,-51.0,-30.0,593.0
1,0.295353758,71,0,0.15877683,3400.0,10,0,0,0,0.0,707.0,2.0,7.0,-12.0,-51.0,-30.0,623.0
1,0.684870635,56,0,0.412725357,17083.0,18,0,2,0,2.0,707.0,-10.0,1.0,-12.0,-51.0,-30.0,605.0
1,0.038893871,62,0,0.192440378,6666.0,10,0,2,0,3.0,707.0,10.0,3.0,-12.0,-51.0,-30.0,627.0
1,0.016325732,57,0,0.103328413,21000.0,15,0,2,0,0.0,707.0,11.0,1.0,-12.0,-51.0,-30.0,626.0
1,0.734159224,42,0,0.092098158,16666.0,5,0,0,0,0.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
1,0.202154488,47,1,0.463845655,6167.0,9,0,1,0,2.0,707.0,2.0,-1.0,-24.0,-51.0,-30.0,603.0
1,0.122671481,53,0,0.711601406,8248.0,14,0,3,0,2.0,707.0,10.0,1.0,-12.0,-51.0,-30.0,625.0
1,0.049294471,63,0,0.175275482,5807.0,7,0,0,0,0.0,707.0,10.0,6.0,-12.0,-51.0,-30.0,630.0
0,0.9999999,31,0,0.0,2939.0,0,8,0,0,0.0,707.0,-10.0,-3.0,-12.0,-86.0,-30.0,566.0
1,0.012922746,51,0,0.296468762,5153.0,7,0,1,0,0.0,707.0,11.0,-1.0,-12.0,-51.0,-30.0,624.0
0,0.32733668,43,0,0.521534176,14000.0,10,0,2,0,3.0,707.0,2.0,-2.0,-12.0,-51.0,-30.0,614.0
1,0.046947163,38,0,0.031141869,2600.0,7,0,0,0,1.0,707.0,10.0,-2.0,-12.0,-51.0,-30.0,622.0
1,0.240059661,41,0,0.175294208,13000.0,20,0,2,0,0.0,707.0,2.0,-2.0,-12.0,-51.0,-30.0,614.0
1,0.9999999,65,0,0.353617811,8084.0,8,0,2,0,0.0,707.0,-10.0,6.0,-12.0,-51.0,-30.0,610.0
1,0.0019999,58,0,0.416791604,2000.0,4,0,2,0,0.0,707.0,11.0,3.0,-12.0,-51.0,-30.0,628.0
1,0.050938622,56,0,0.219197047,6500.0,9,0,2,0,0.0,707.0,10.0,1.0,-12.0,-51.0,-30.0,625.0
1,0.222688866,46,0,0.465543645,11100.0,4,0,3,0,1.0,707.0,2.0,-1.0,-12.0,-51.0,-30.0,615.0
1,0.096404709,47,0,0.01749514,3600.0,3,0,0,0,0.0,707.0,10.0,-1.0,-12.0,-51.0,-30.0,623.0
1,0.9999999,46,1,0.276530163,9083.0,4,0,2,0,2.0,707.0,-10.0,-1.0,-24.0,-51.0,-30.0,591.0
1,0.001556983,65,0,1.0,2546.0,3,0,0,0,,707.0,11.0,6.0,-12.0,-51.0,-30.0,631.0
1,0.842845715,41,0,0.520079987,6000.0,6,0,1,0,0.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
1,0.064582067,29,0,0.091503268,2600.0,8,0,0,0,0.0,707.0,10.0,-3.0,-12.0,-51.0,-30.0,621.0
1,0.57030165,35,0,0.698365082,6666.0,5,0,2,0,0.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
1,0.306656645,54,0,0.380134887,3261.0,11,0,1,0,1.0,707.0,2.0,1.0,-12.0,-51.0,-30.0,617.0
1,0.042427359,45,0,0.007939308,5667.0,6,0,0,0,0.0,707.0,10.0,-1.0,-12.0,-51.0,-30.0,623.0
1,0.995001,31,4,0.754642434,2530.0,6,0,1,1,1.0,707.0,-10.0,-3.0,-34.0,-51.0,-44.0,565.0
1,0.000758967,80,0,0.120106901,6360.0,9,0,1,0,0.0,707.0,11.0,7.0,-12.0,-51.0,-30.0,632.0
1,0.0,52,0,0.45649903,6700.0,10,0,4,0,0.0,707.0,11.0,-1.0,-12.0,-51.0,-30.0,624.0
1,0.135540074,43,0,0.115910727,8333.0,6,0,0,0,0.0,707.0,10.0,-2.0,-12.0,-51.0,-30.0,622.0
1,0.140418542,72,0,0.021473528,2700.0,8,0,0,0,0.0,707.0,10.0,7.0,-12.0,-51.0,-30.0,631.0
1,0.055392014,69,0,0.018686074,5083.0,3,0,0,0,0.0,707.0,10.0,6.0,-12.0,-51.0,-30.0,630.0
1,0.9999999,42,0,0.510721248,7694.0,5,0,2,0,4.0,707.0,-10.0,-2.0,-12.0,-51.0,-30.0,602.0
1,0.235697039,61,0,0.509479242,4166.0,14,0,2,0,0.0,707.0,2.0,3.0,-12.0,-51.0,-30.0,619.0
1,0.9999999,57,0,0.0,2000.0,4,0,0,0,2.0,707.0,-10.0,1.0,-12.0,-51.0,-30.0,605.0
1,0.028598856,47,0,0.170752762,11583.0,5,0,1,0,0.0,707.0,11.0,-1.0,-12.0,-51.0,-30.0,624.0
1,0.77700892,64,0,0.313363425,7310.0,7,0,2,0,1.0,707.0,-10.0,6.0,-12.0,-51.0,-30.0,610.0
1,0.009738877,36,0,0.281660313,7082.0,8,0,2,0,0.0,707.0,11.0,-2.0,-12.0,-51.0,-30.0,623.0
1,0.124861254,48,2,0.328836902,10600.0,15,0,1,0,2.0,707.0,10.0,-1.0,-24.0,-51.0,-30.0,611.0
1,0.033218411,71,0,0.038263849,1750.0,6,0,0,0,0.0,707.0,10.0,7.0,-12.0,-51.0,-30.0,631.0
1,0.088830047,33,0,0.276709229,6186.0,16,0,1,0,0.0,707.0,10.0,-2.0,-12.0,-51.0,-30.0,622.0
1,0.036444775,59,0,0.044148272,2400.0,6,0,0,0,1.0,707.0,10.0,3.0,-12.0,-51.0,-30.0,627.0
1,0.438342466,43,0,0.279003962,5300.0,10,0,0,0,1.0,707.0,2.0,-2.0,-12.0,-51.0,-30.0,614.0
